2682206 ; SIT Médio Tejo - 1ª Fase;01;240104;;;;;;;;;;;0.00;;
AT CMALC; Assistencia Técnica - Municipio de Alcanena;01;240102;;00000002;;;;;;;;;0.00;;
AT CMALC; Assistencia Técnica - Municipio de Alcanena;02;240102;;00000002;7421321;;;;2682202;AT;Assistência Técnica QREN;;325.03;;
AT CMALC; Assistencia Técnica - Municipio de Alcanena;03;240102;;00000002;;;;;;;;;0.00;;
AT CMALC; Assistencia Técnica - Municipio de Alcanena;04;240102;;00000002;;;;;;;;;0.00;;
AT CMALC; Assistencia Técnica - Municipio de Alcanena;05;240102;;00000002;;;;;;;;;0.00;;
AT CMALC; Assistencia Técnica - Municipio de Alcanena;06;240102;;00000002;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMC ; Assistencia Tecnica - Municipio de Constância;01;240102;;00000003;;;;;;;;;0.00;;
AT CMC ; Assistencia Tecnica - Municipio de Constância;02;240102;;00000003;7421321;;;;2682202;AT;Assistência Técnica QREN;;218.22;;
AT CMC ; Assistencia Tecnica - Municipio de Constância;03;240102;;00000003;;;;;;;;;0.00;;
AT CMC ; Assistencia Tecnica - Municipio de Constância;04;240102;;00000003;;;;;;;;;0.00;;
AT CMC ; Assistencia Tecnica - Municipio de Constância;05;240102;;00000003;;;;;;;;;0.00;;
AT CMC ; Assistencia Tecnica - Municipio de Constância;06;240102;;00000003;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CME ; Assistência Tecnica - Municipio do Entrocamento;01;240102;;00000004;;;;;;;;;0.00;;
AT CME ; Assistência Tecnica - Municipio do Entrocamento;02;240102;;00000004;7421321;;;;2682202;AT;Assistência Técnica QREN;;221.80;;
AT CME ; Assistência Tecnica - Municipio do Entrocamento;03;240102;;00000004;;;;;;;;;0.00;;
AT CME ; Assistência Tecnica - Municipio do Entrocamento;04;240102;;00000004;;;;;;;;;0.00;;
AT CME ; Assistência Tecnica - Municipio do Entrocamento;05;240102;;00000004;;;;;;;;;0.00;;
AT CME ; Assistência Tecnica - Municipio do Entrocamento;06;240102;;00000004;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMFZ ; Assistência Técnica - Municipio de Ferreira de Zêzere;01;240102;;00000005;;;;;;;;;0.00;;
AT CMFZ ; Assistência Técnica - Municipio de Ferreira de Zêzere;02;240102;;00000005;7421321;;;;2682202;AT;Assistência Técnica QREN;;320.83;;
AT CMFZ ; Assistência Técnica - Municipio de Ferreira de Zêzere;03;240102;;00000005;;;;;;;;;0.00;;
AT CMFZ ; Assistência Técnica - Municipio de Ferreira de Zêzere;04;240102;;00000005;;;;;;;;;0.00;;
AT CMFZ ; Assistência Técnica - Municipio de Ferreira de Zêzere;05;240102;;00000005;;;;;;;;;0.00;;
AT CMFZ ; Assistência Técnica - Municipio de Ferreira de Zêzere;06;240102;;00000005;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMM ; Assistência Técnica - Municipio de Mação;01;240102;;00000006;;;;;;;;;0.00;;
AT CMM ; Assistência Técnica - Municipio de Mação;02;240102;;00000006;7421321;;;;2682202;AT;Assistência Técnica QREN;;0.00;;
AT CMM ; Assistência Técnica - Municipio de Mação;03;240102;;00000006;;;;;;;;;0.00;;
AT CMM ; Assistência Técnica - Municipio de Mação;04;240102;;00000006;;;;;;;;;0.00;;
AT CMM ; Assistência Técnica - Municipio de Mação;05;240102;;00000006;;;;;;;;;0.00;;
AT CMM ; Assistência Técnica - Municipio de Mação;06;240102;;00000006;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMO ; Assistência Técnica - Municipio de Ourém;01;240102;;00000007;;;;;;;;;0.00;;
AT CMO ; Assistência Técnica - Municipio de Ourém;02;240102;;00000007;7421321;;;;2682202;AT;Assistência Técnica QREN;;757.83;;
AT CMO ; Assistência Técnica - Municipio de Ourém;03;240102;;00000007;;;;;;;;;0.00;;
AT CMO ; Assistência Técnica - Municipio de Ourém;04;240102;;00000007;;;;;;;;;0.00;;
AT CMO ; Assistência Técnica - Municipio de Ourém;05;240102;;00000007;;;;;;;;;0.00;;
AT CMO ; Assistência Técnica - Municipio de Ourém;06;240102;;00000007;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMS ; Assistência Técnica - Municipio de Sardoal;01;240102;;00000008;;;;;;;;;0.00;;
AT CMS ; Assistência Técnica - Municipio de Sardoal;02;240102;;00000008;7421321;;;;2682202;AT;Assistência Técnica QREN;;235.99;;
AT CMS ; Assistência Técnica - Municipio de Sardoal;03;240102;;00000008;;;;;;;;;0.00;;
AT CMS ; Assistência Técnica - Municipio de Sardoal;04;240102;;00000008;;;;;;;;;0.00;;
AT CMS ; Assistência Técnica - Municipio de Sardoal;05;240102;;00000008;;;;;;;;;0.00;;
AT CMS ; Assistência Técnica - Municipio de Sardoal;06;240102;;00000008;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMT ; Assistência Técnica - Municipio de Tomar;01;240102;;00000009;;;;;;;;;0.00;;
AT CMT ; Assistência Técnica - Municipio de Tomar;02;240102;;00000009;7421321;;;;2682202;AT;Assistência Técnica QREN;;623.70;;
AT CMT ; Assistência Técnica - Municipio de Tomar;03;240102;;00000009;;;;;;;;;0.00;;
AT CMT ; Assistência Técnica - Municipio de Tomar;04;240102;;00000009;;;;;;;;;0.00;;
AT CMT ; Assistência Técnica - Municipio de Tomar;05;240102;;00000009;;;;;;;;;0.00;;
AT CMT ; Assistência Técnica - Municipio de Tomar;06;240102;;00000009;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMTN ; Assistência Técnica - Municipio de Torres Novas;01;240102;;00000010;;;;;;;;;0.00;;
AT CMTN ; Assistência Técnica - Municipio de Torres Novas;02;240102;;00000010;7421321;;;;2682202;AT;Assistência Técnica QREN;;575.71;;
AT CMTN ; Assistência Técnica - Municipio de Torres Novas;03;240102;;00000010;;;;;;;;;0.00;;
AT CMTN ; Assistência Técnica - Municipio de Torres Novas;04;240102;;00000010;;;;;;;;;0.00;;
AT CMTN ; Assistência Técnica - Municipio de Torres Novas;05;240102;;00000010;;;;;;;;;0.00;;
AT CMTN ; Assistência Técnica - Municipio de Torres Novas;06;240102;;00000010;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMVNB; Assistência Técnica - Municipio de Vila Nova da Barquinha;01;240102;;00000011;;;;;;;;;0.00;;
AT CMVNB; Assistência Técnica - Municipio de Vila Nova da Barquinha;02;240102;;00000011;7421321;;;;2682202;AT;Assistência Técnica QREN;;213.01;;
AT CMVNB; Assistência Técnica - Municipio de Vila Nova da Barquinha;03;240102;;00000011;;;;;;;;;0.00;;
AT CMVNB; Assistência Técnica - Municipio de Vila Nova da Barquinha;04;240102;;00000011;;;;;;;;;0.00;;
AT CMVNB; Assistência Técnica - Municipio de Vila Nova da Barquinha;05;240102;;00000011;;;;;;;;;0.00;;
AT CMVNB; Assistência Técnica - Municipio de Vila Nova da Barquinha;06;240102;;00000011;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
QT CMA ; Quotas - Municipio de Abrantes;01;240101;;00000001;;;;;;;;;0.00;;
QT CMA ; Quotas - Municipio de Abrantes;02;240101;;00000001;7421321;;;;2682201;;Quotização Mensal;;7056.91;;
QT CMA ; Quotas - Municipio de Abrantes;03;240101;;00000001;;;;;;;;;0.00;;
QT CMA ; Quotas - Municipio de Abrantes;04;240101;;00000001;;;;;;;;;0.00;;
QT CMA ; Quotas - Municipio de Abrantes;05;240101;;00000001;;;;;;;;;0.00;;
QT CMA ; Quotas - Municipio de Abrantes;06;240101;;00000001;;;;;;;OBS:Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
QT CMALC; Quotas - Municipio de Alcanena;01;240101;;00000002;;;;;;;;;0.00;;
QT CMALC; Quotas - Municipio de Alcanena;02;240101;;00000002;7421321;;;;2682201;;Quotização Mensal;;3876.12;;
QT CMALC; Quotas - Municipio de Alcanena;03;240101;;00000002;;;;;;;;;0.00;;
QT CMALC; Quotas - Municipio de Alcanena;04;240101;;00000002;;;;;;;;;0.00;;
QT CMALC; Quotas - Municipio de Alcanena;05;240101;;00000002;;;;;;;;;0.00;;
QT CMALC; Quotas - Municipio de Alcanena;06;240101;;00000002;;;;;;;OBS:Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
QT CMC ; Quotas - Municipio de Constância;01;240101;;00000003;;;;;;;;;0.00;;
QT CMC ; Quotas - Municipio de Constância;02;240101;;00000003;7421321;;;;2682201;;Quotização Mensal;;3138.36;;
QT CMC ; Quotas - Municipio de Constância;03;240101;;00000003;;;;;;;;;0.00;;
QT CMC ; Quotas - Municipio de Constância;04;240101;;00000003;;;;;;;;;0.00;;
QT CMC ; Quotas - Municipio de Constância;05;240101;;00000003;;;;;;;;;0.00;;
QT CMC ; Quotas - Municipio de Constância;06;240101;;00000003;;;;;;;OBS:Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
QT CME ; Quotas - Municipio do Entroncamento;01;240101;;00000004;;;;;;;;;0.00;;
QT CME ; Quotas - Municipio do Entroncamento;02;240101;;00000004;7421321;;;;2682201;;Quotização Mensal;;3171.60;;
QT CME ; Quotas - Municipio do Entroncamento;03;240101;;00000004;;;;;;;;;0.00;;
QT CME ; Quotas - Municipio do Entroncamento;04;240101;;00000004;;;;;;;;;0.00;;
QT CME ; Quotas - Municipio do Entroncamento;05;240101;;00000004;;;;;;;;;0.00;;
QT CME ; Quotas - Municipio do Entroncamento;06;240101;;00000004;;;;;;;OBS:Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
QT CMFZ ; Quotas - Municipio de Ferreira de Zêzere;01;240101;;00000005;;;;;;;;;0.00;;
QT CMFZ ; Quotas - Municipio de Ferreira de Zêzere;02;240101;;00000005;7421321;;;;2682201;;Quotização Mensal;;3868.88;;
QT CMFZ ; Quotas - Municipio de Ferreira de Zêzere;03;240101;;00000005;;;;;;;;;0.00;;
QT CMFZ ; Quotas - Municipio de Ferreira de Zêzere;04;240101;;00000005;;;;;;;;;0.00;;
QT CMFZ ; Quotas - Municipio de Ferreira de Zêzere;05;240101;;00000005;;;;;;;;;0.00;;
QT CMFZ ; Quotas - Municipio de Ferreira de Zêzere;06;240101;;00000005;;;;;;;OBS:Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
QT CMM ; Quotas - Municipio de Mação;01;240101;;00000006;;;;;;;;;0.00;;
QT CMM ; Quotas - Municipio de Mação;02;240101;;00000006;7421321;;;;2682201;;Quotização Mensal;;4586.34;;
QT CMM ; Quotas - Municipio de Mação;03;240101;;00000006;;;;;;;;;0.00;;
QT CMM ; Quotas - Municipio de Mação;04;240101;;00000006;;;;;;;;;0.00;;
QT CMM ; Quotas - Municipio de Mação;05;240101;;00000006;;;;;;;;;0.00;;
QT CMM ; Quotas - Municipio de Mação;06;240101;;00000006;;;;;;;OBS:Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
QT CMO ; Quotas - Municipio de Ourém;01;240101;;00000007;;;;;;;;;0.00;;
QT CMO ; Quotas - Municipio de Ourém;02;240101;;00000007;7421321;;;;2682201;;Quotização Mensal;;6945.56;;
QT CMO ; Quotas - Municipio de Ourém;03;240101;;00000007;;;;;;;;;0.00;;
QT CMO ; Quotas - Municipio de Ourém;04;240101;;00000007;;;;;;;;;0.00;;
QT CMO ; Quotas - Municipio de Ourém;05;240101;;00000007;;;;;;;;;0.00;;
QT CMO ; Quotas - Municipio de Ourém;06;240101;;00000007;;;;;;;OBS:Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
QT CMS ; Quotas - Municipio de Sardoal;01;240101;;00000008;;;;;;;;;0.00;;
QT CMS ; Quotas - Municipio de Sardoal;02;240101;;00000008;7421321;;;;2682201;;Quotização Mensal;;3271.58;;
QT CMS ; Quotas - Municipio de Sardoal;03;240101;;00000008;;;;;;;;;0.00;;
QT CMS ; Quotas - Municipio de Sardoal;04;240101;;00000008;;;;;;;;;0.00;;
QT CMS ; Quotas - Municipio de Sardoal;05;240101;;00000008;;;;;;;;;0.00;;
QT CMS ; Quotas - Municipio de Sardoal;06;240101;;00000008;;;;;;;OBS:Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
QT CMT ; Quotas - Municipoio de Tomar;01;240101;;00000010;;;;;;;;;0.00;;
QT CMT ; Quotas - Municipoio de Tomar;02;240101;;00000010;7421321;;;;2682201;;Quotização Mensal;;5574.21;;
QT CMT ; Quotas - Municipoio de Tomar;03;240101;;00000010;;;;;;;;;0.00;;
QT CMT ; Quotas - Municipoio de Tomar;04;240101;;00000010;;;;;;;;;0.00;;
QT CMT ; Quotas - Municipoio de Tomar;05;240101;;00000010;;;;;;;;;0.00;;
QT CMT ; Quotas - Municipoio de Tomar;06;240101;;00000010;;;;;;;OBS:Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
QT CMTN ; Quotas - Municipio de Torres Novas;01;240101;;00000010;;;;;;;;;0.00;;
QT CMTN ; Quotas - Municipio de Torres Novas;02;240101;;00000010;7421321;;;;2682201;;Quotização Mensal;;5574.21;;
QT CMTN ; Quotas - Municipio de Torres Novas;03;240101;;00000010;;;;;;;;;0.00;;
QT CMTN ; Quotas - Municipio de Torres Novas;04;240101;;00000010;;;;;;;;;0.00;;
QT CMTN ; Quotas - Municipio de Torres Novas;05;240101;;00000010;;;;;;;;;0.00;;
QT CMTN ; Quotas - Municipio de Torres Novas;06;240101;;00000010;;;;;;;OBS:Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
QT CMVNB; Quotas - Municipio de Vila Nova da Barquinha;01;240102;;00000010;;;;;;;;;0.00;;
QT CMVNB; Quotas - Municipio de Vila Nova da Barquinha;02;240102;;00000010;7421321;;;;2682202; ; Quotização Mensal;;0.00;;
QT CMVNB; Quotas - Municipio de Vila Nova da Barquinha;03;240102;;00000010;;;;;;;;;0.00;;
QT CMVNB; Quotas - Municipio de Vila Nova da Barquinha;04;240102;;00000010;;;;;;;;;0.00;;
QT CMVNB; Quotas - Municipio de Vila Nova da Barquinha;05;240102;;00000010;;;;;;;;;0.00;;
QT CMVNB; Quotas - Municipio de Vila Nova da Barquinha;06;240102;;00000010;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
